sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/4/2023 5:01:03 PM;1701705663343;;(-0.185, 1.071, 0.078);(355.351, 3.784, 356.521);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.53, 0.45);-1;1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.33, 0.28);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663363;;(-0.185, 1.071, 0.078);(355.229, 3.673, 356.570);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.43, 0.61);-1;1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.33, 0.27);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663384;;(-0.186, 1.071, 0.078);(355.124, 3.582, 356.498);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.43, 0.51);-1;1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.33, 0.27);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663406;;(-0.186, 1.071, 0.078);(355.013, 3.535, 356.443);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.44, 0.57);-1;1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.33, 0.27);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663429;;(-0.186, 1.071, 0.078);(354.941, 3.467, 356.423);;;;(-1.000, -1.000, -1.000);(-1.000, -1.000, -1.000);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.00, -1.00);-1;1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.79, 0.68);-1;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663451;;(-0.186, 1.071, 0.077);(354.897, 3.440, 356.405);SpawnPoint (2);(0.145, 0.000, 1.617);;(-25.849, 12.545, -32.995);(0.037, -0.532, 0.846);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.44, 0.60);-1;1;(-25.849, 12.545, -32.995);(0.037, -0.532, 0.846);(0.35, 0.27);2.165131;1.62577;(-0.213, 0.337, 1.528);(-0.717, 0.674, -0.178)
12/4/2023 5:01:03 PM;1701705663473;;(-0.186, 1.071, 0.077);(354.832, 3.426, 356.385);;;;(-26.169, 12.719, -30.716);(0.068, -0.480, 0.875);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.44, 0.60);-1;0;(-26.169, 12.719, -30.716);(0.068, -0.480, 0.875);(0.35, 0.23);2.626831;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663496;;(-0.186, 1.071, 0.077);(354.809, 3.392, 356.357);;;;(-26.051, 13.076, -31.425);(-0.043, -0.323, 0.945);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.55, 0.47);-1;0;(-26.051, 13.076, -31.425);(-0.043, -0.323, 0.945);(0.36, 0.20);2.484665;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663517;;(-0.186, 1.071, 0.077);(354.760, 3.410, 356.347);;;;(-26.653, 13.743, -35.678);(0.055, -0.340, 0.939);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.55, 0.46);-1;0;(-26.653, 13.743, -35.678);(0.055, -0.340, 0.939);(0.36, 0.19);2.466858;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663540;;(-0.186, 1.071, 0.077);(354.731, 3.385, 356.316);;;;(-26.653, 13.659, -35.273);(0.037, -0.333, 0.942);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.46);-1;0;(-26.653, 13.659, -35.273);(0.037, -0.333, 0.942);(0.37, 0.19);2.497086;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
