sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/5/2023 3:52:13 PM;1701787933084;;(-0.058, 1.261, -0.025);(10.537, 354.622, 357.578);;;;(1.428, -0.017, -33.215);(0.228, 0.027, 0.973);1;(33.251, -0.046, -32.485);(0.204, 0.020, 0.979);(0.44, 0.60);3.237228;1;(-29.475, 0.011, -33.917);(0.250, 0.034, 0.968);(0.40, 0.62);3.320404;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933104;;(-0.058, 1.261, -0.025);(10.530, 354.626, 357.510);;;;(1.006, -0.031, -33.185);(0.228, 0.027, 0.973);1;(33.247, -0.064, -32.440);(0.205, 0.020, 0.979);(0.44, 0.60);3.239731;1;(-29.477, 0.001, -33.889);(0.251, 0.034, 0.967);(0.40, 0.62);3.335846;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933126;;(-0.057, 1.261, -0.025);(10.534, 354.634, 357.497);;;;(-0.059, -0.041, -33.177);(0.229, 0.028, 0.973);1;(33.244, -0.070, -32.407);(0.205, 0.020, 0.978);(0.44, 0.60);3.240494;1;(-29.479, -0.016, -33.857);(0.250, 0.036, 0.968);(0.40, 0.62);3.347351;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933148;;(-0.057, 1.261, -0.025);(10.540, 354.667, 357.525);;;;(1.996, -0.302, -32.431);(0.233, 0.039, 0.972);1;(33.217, -0.546, -31.098);(0.215, 0.040, 0.976);(0.44, 0.60);3.279907;1;(-29.482, -0.055, -33.775);(0.250, 0.038, 0.967);(0.40, 0.62);3.340714;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933171;;(-0.057, 1.261, -0.025);(10.527, 354.712, 357.521);;;;(3.171, -0.327, -32.355);(0.232, 0.039, 0.972);1;(33.217, -0.555, -31.098);(0.216, 0.039, 0.976);(0.44, 0.60);3.280716;1;(-29.485, -0.079, -33.721);(0.250, 0.040, 0.967);(0.40, 0.62);3.352402;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933194;;(-0.057, 1.261, -0.025);(10.489, 354.746, 357.574);;;;(4.130, -0.349, -32.280);(0.231, 0.039, 0.972);1;(33.218, -0.557, -31.095);(0.216, 0.039, 0.976);(0.44, 0.60);3.29631;1;(-29.488, -0.109, -33.649);(0.249, 0.040, 0.968);(0.41, 0.62);3.357117;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933215;;(-0.057, 1.261, -0.025);(10.471, 354.763, 357.583);;;;(4.105, -0.360, -32.249);(0.232, 0.039, 0.972);1;(33.218, -0.557, -31.095);(0.215, 0.038, 0.976);(0.44, 0.60);3.296082;1;(-29.490, -0.132, -33.581);(0.250, 0.039, 0.967);(0.40, 0.62);3.359009;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933237;;(-0.057, 1.261, -0.025);(10.457, 354.766, 357.598);;;;(1.604, -0.349, -32.338);(0.234, 0.038, 0.971);1;(33.220, -0.565, -31.093);(0.216, 0.038, 0.976);(0.44, 0.61);3.305771;1;(-29.490, -0.136, -33.563);(0.252, 0.039, 0.967);(0.40, 0.62);3.359558;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933259;;(-0.057, 1.261, -0.025);(10.449, 354.741, 357.600);;;;(1.497, -0.355, -32.314);(0.234, 0.037, 0.971);1;(33.221, -0.566, -31.075);(0.216, 0.037, 0.976);(0.44, 0.61);3.308243;1;(-29.490, -0.150, -33.523);(0.252, 0.038, 0.967);(0.40, 0.62);3.378677;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933282;;(-0.057, 1.261, -0.025);(10.450, 354.730, 357.599);;;;(1.727, -0.363, -32.299);(0.234, 0.038, 0.971);1;(33.228, -0.565, -31.093);(0.215, 0.037, 0.976);(0.44, 0.61);3.308853;1;(-29.490, -0.163, -33.494);(0.253, 0.038, 0.967);(0.40, 0.62);3.3815;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933304;;(-0.057, 1.261, -0.025);(10.484, 354.718, 357.573);;;;(2.133, -0.376, -32.268);(0.235, 0.038, 0.971);1;(33.230, -0.569, -31.090);(0.215, 0.038, 0.976);(0.44, 0.61);3.319168;1;(-29.490, -0.180, -33.467);(0.255, 0.038, 0.966);(0.40, 0.62);3.386841;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933326;;(-0.057, 1.261, -0.025);(10.501, 354.716, 357.547);;;;(1.632, -0.382, -32.282);(0.236, 0.038, 0.971);1;(33.233, -0.569, -31.093);(0.216, 0.037, 0.976);(0.44, 0.61);3.320251;1;(-29.490, -0.197, -33.454);(0.255, 0.039, 0.966);(0.40, 0.62);3.387604;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933348;;(-0.057, 1.261, -0.025);(10.557, 354.710, 357.520);;;;(0.741, -0.376, -32.316);(0.235, 0.038, 0.971);1;(33.234, -0.569, -31.093);(0.215, 0.037, 0.976);(0.44, 0.61);3.320145;1;(-29.490, -0.197, -33.454);(0.253, 0.038, 0.967);(0.40, 0.62);3.376114;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933371;;(-0.057, 1.261, -0.025);(10.591, 354.745, 357.523);;;;(3.751, -0.390, -32.212);(0.232, 0.036, 0.972);1;(33.235, -0.561, -31.111);(0.215, 0.036, 0.976);(0.44, 0.61);3.32077;1;(-29.490, -0.197, -33.454);(0.251, 0.036, 0.967);(0.40, 0.63);3.367355;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933392;;(-0.057, 1.261, -0.024);(10.623, 354.811, 357.511);;;;(4.874, -0.388, -32.200);(0.231, 0.036, 0.972);1;(33.236, -0.553, -31.136);(0.215, 0.036, 0.976);(0.44, 0.61);3.318878;1;(-29.491, -0.188, -33.490);(0.249, 0.036, 0.968);(0.41, 0.63);3.366058;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933415;;(-0.057, 1.261, -0.024);(10.631, 354.881, 357.482);;;;(8.957, -0.199, -32.604);(0.217, 0.028, 0.976);1;(33.181, -0.329, -31.761);(0.208, 0.026, 0.978);(0.44, 0.61);3.281631;1;(-29.613, 0.007, -33.947);(0.230, 0.033, 0.973);(0.41, 0.62);3.222549;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933438;;(-0.057, 1.261, -0.024);(10.631, 355.003, 357.471);;;;(31.729, -0.255, -31.510);(0.022, 0.038, 0.999);1;(31.902, -0.256, -31.503);(0.022, 0.038, 0.999);(0.52, 0.60);3.301605;1;(-30.961, 0.131, -34.195);(0.025, 0.023, 0.999);(0.49, 0.62);3.359909;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933459;;(-0.057, 1.261, -0.024);(10.614, 355.187, 357.457);;;;(-0.684, 0.051, -33.201);(-0.133, 0.025, 0.991);1;(30.636, -0.194, -31.597);(-0.147, 0.028, 0.989);(0.59, 0.60);3.36116;1;(-32.004, 0.296, -34.805);(-0.119, 0.022, 0.993);(0.56, 0.62);3.317001;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933482;;(-0.056, 1.261, -0.024);(10.589, 355.387, 357.460);;;;(-0.704, 0.006, -33.124);(-0.134, 0.021, 0.991);1;(30.625, -0.153, -31.771);(-0.144, 0.021, 0.989);(0.59, 0.60);3.332321;1;(-32.032, 0.165, -34.478);(-0.123, 0.021, 0.992);(0.56, 0.63);3.247223;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933505;;(-0.056, 1.261, -0.024);(10.568, 355.595, 357.438);;;;(-16.243, 0.002, -33.494);(-0.122, 0.019, 0.992);1;(30.689, -0.300, -31.330);(-0.148, 0.025, 0.989);(0.59, 0.60);3.333572;1;(-32.019, 0.103, -34.222);(-0.113, 0.018, 0.993);(0.55, 0.63);3.169922;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/5/2023 3:52:13 PM;1701787933525;;(-0.056, 1.261, -0.024);(10.539, 355.840, 357.405);;;;(-9.116, -0.120, -32.922);(-0.130, 0.023, 0.991);1;(30.751, -0.533, -30.584);(-0.158, 0.029, 0.987);(0.59, 0.60);3.396164;1;(-32.003, 0.118, -34.264);(-0.113, 0.020, 0.993);(0.55, 0.62);3.18576;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
